ID,Key,Title,Year,Venue,Venue Type,Source,RQ,Primary Categories,Secondary Categories,QA Total
S086,2509_12159,EfficientUICoder: Efficient MLLM-based UI Code Generation via Input and Output Token Compression,2025,arXiv preprint,preprint,database,RQ3,3d-PromptCompression; 3l-CodeSpecific,,3
S087,2509_14093,Reasoning Efficiently Through Adaptive Chain-of-Thought Compression: A Self-Optimizing Framework,2025,arXiv preprint,preprint,database,RQ3,3o-CoTOpt,,2.5
S088,2509_17489,MapCoder-Lite: Distilling Multi-Agent Coding into a Single Small LLM,2025,arXiv preprint,preprint,database,RQ2,2c-Distillation,,3.5
S089,2509_25243,Reinforcement Learning-Guided Chain-of-Draft for Token-Efficient Code Generation,2025,arXiv preprint,preprint,database,RQ2; RQ3,3o-CoTOpt; 2f-RLTraining,,3
S090,2510_00446,LongCodeZip: Compress Long Context for Code Language Models,2025,ASE,conference,database,RQ3,3d-PromptCompression,,4
S091,2510_18165,Saber: An Efficient Sampling with Adaptive Acceleration and Backtracking Enhanced Remasking for Diffusion Language Model,2025,arXiv preprint,preprint,database,RQ3,3c-NAR; 3j-Sampling,,3.5
S092,2510_19644,LLavaCode: Compressed Code Representations for Retrieval-Augmented Code Generation,2025,arXiv preprint,preprint,database,RQ3,3e-ContextPruning,,3
S093,2511_06307,DRIVE: Data Curation Best Practices for Reinforcement Learning with Verifiable Reward in Competitive Code Generation,2025,arXiv preprint,preprint,supplementary-rq1,RQ1,1a-DataSelection; 1b-DataQuality,,3
S094,2511_23321,Chart2Code-MoLA: Efficient Multi-Modal Code Generation via Adaptive Expert Routing,2025,Asia-Pacific Software Engineering Conference,conference,database,RQ2; RQ3,2b-PEFT; 3i-Routing,,3.5
S095,2512_08266,Token Sugar: Making Source Code Sweeter for LLMs through Token-Efficient Shorthand,2025,ASE,conference,database,RQ3,3l-CodeSpecific,,4
S096,2512_14048,Intention Chain-of-Thought Prompting with Dynamic Routing for Code Generation,2025,arXiv preprint,preprint,database,RQ3,3o-CoTOpt; 3i-Routing,,3
S097,2512_23367,Post-Training Quantization of OpenPangu Models for Efficient Deployment on Atlas A2,2025,arXiv preprint,preprint,database,RQ3,3g-PTQ,,3
S098,Giagnorio2025quantizing,Quantizing Large Language Models for Code Generation: A Differentiated Replication,2025,Zenodo,journal,database,RQ3; RQ4,3g-PTQ; 4b-EmpiricalStudy,,3.5
S099,He2025codepromptzip,CODEPROMPTZIP: Code-specific Prompt Compression for Retrieval-Augmented Generation in Coding Tasks with LMs,2025,arXiv preprint,preprint,database,RQ3,3d-PromptCompression,,3.5
S100,Zhao2025codeswift,CodeSwift: Accelerating LLM Inference for Efficient Code Generation,2025,arXiv preprint,preprint,database,RQ3,3l-CodeSpecific,,3
S101,arxiv_2505_02133,"Enhancing LLM Code Generation: A Systematic Evaluation of Multi-Agent Collaboration and Runtime Debugging for Improved Accuracy, Reliability, and Latency",2025,arXiv preprint,preprint,snowball-backward,RQ3; RQ4,3k-MultiAgent; 4b-EmpiricalStudy,,3
S102,arxiv_2505_14200,Capturing the Effects of Quantization on Trojans in Code LLMs,2025,arXiv preprint,preprint,snowball-forward,RQ3; RQ4,3g-PTQ; 4b-EmpiricalStudy,,3
S103,arxiv_2506_22776,Smaller = Weaker? Benchmarking Robustness of Quantized LLMs in Code Generation,2025,arXiv preprint,preprint,snowball-forward,RQ3; RQ4,3g-PTQ; 4b-EmpiricalStudy,,3
S104,arxiv_2507_02378,Efficient Code LLM Training via Distribution-Consistent and Diversity-Aware Data Selection,2025,arXiv preprint,preprint,snowball-forward,RQ1,1a-DataSelection,,3
S105,arxiv_2508_08332,Energy-Aware Code Generation with LLMs: Benchmarking Small vs. Large Language Models for Sustainable AI Programming,2025,2025 3rd International Conference on Foundation and Large Language Models (FLLM),conference,snowball-backward,RQ4,4b-EmpiricalStudy,,3.5
S106,arxiv_2512_24570,On the Effectiveness of Training Data Optimization for LLM-based Code Generation: An Empirical Study,2025,arXiv preprint,preprint,snowball-forward,RQ1,1a-DataSelection; 1b-DataQuality,,2.5
S107,doi_10_1109_TCAD_2024_3483089,RTLCoder: Fully Open-Source and Efficient LLM-Assisted RTL Code Generation Technique,2025,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,journal,snowball-backward,RQ1; RQ2,2b-PEFT; 1b-DataQuality,,4
S108,doi_10_3390_sym17081325,Symmetry-Aware Code Generation: Distilling Pseudocode Reasoning for Lightweight Deployment of Large Language Models,2025,Symmetry,journal,snowball-forward,RQ2,2c-Distillation,,3.5
S109,ieee_Morte2025efficient,Efficient LLM Tuning: A Multi-Objective Approach for Code Generation,2025,WCNPS,,supplementary,RQ3,3j-Sampling,,
S110,ieee_Rohilla2025graphmoe,Graph-MoE: A Graph-Based LLM Framework for Scalable and Efficient Code Completion in Integrated Development Environment,2025,INCET,,supplementary,RQ3,3i-Routing,,
S111,2601_09703,ShortCoder: Knowledge-Augmented Syntax Optimization for Token-Efficient Code Generation,2026,arXiv preprint,preprint,database,RQ3,3l-CodeSpecific; 3d-PromptCompression,,3.5
S112,2601_20223,Control Models for In-IDE Code Completion,2026,arXiv preprint,preprint,database,RQ3,3i-Routing,,3
S113,2601_21115,Multi-task Code LLMs: Data Mix or Model Merge?,2026,arXiv preprint,preprint,supplementary-rq1,RQ1,1d-DataMixing,,3
S114,2601_21469,Adaptive Confidence Gating in Multi-Agent Collaboration for Efficient and Optimized Code Generation,2026,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,3
S115,2601_22132,"Pay for Hints, Not Answers: LLM Shepherding for Cost-Efficient Inference",2026,arXiv preprint,preprint,database,RQ3,3i-Routing,,3
S116,2601_23254,GrepRAG: An Empirical Study and Optimization of Grep-Like Retrieval for Code Completion,2026,arXiv preprint,preprint,database,RQ3,3e-ContextPruning,,2.5
S117,2602_02597,ContextEvolve: Multi-Agent Context Compression for Systems Code Optimization,2026,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,2.5
S118,2602_05712,Towards Green AI: Decoding the Energy of LLM Inference in Software Development,2026,arXiv preprint,preprint,database,RQ3; RQ4,4b-EmpiricalStudy; 3b-EarlyExit,,3
S119,2602_07670,Surprisal-Guided Selection: Compute-Optimal Test-Time Strategies for Execution-Grounded Code Generation,2026,arXiv preprint,preprint,database,RQ3,3j-Sampling,,3
S120,2602_15843,The Perplexity Paradox: Why Code Compresses Better Than Math in LLM Prompts,2026,arXiv preprint,preprint,database,RQ3,3d-PromptCompression,,3
S121,2602_17100,AgentConductor: Topology Evolution for Multi-Agent Competition-Level Code Generation,2026,arXiv preprint,preprint,database,RQ3,3k-MultiAgent,,3
S122,2602_17684,CodeScaler: Scaling Code LLM Training and Test-Time Inference via Execution-Free Reward Models,2026,arXiv preprint,preprint,database,RQ2; RQ3,2f-RLTraining; 3j-Sampling,,3
S123,2602_21800,An Evaluation of Context Length Extrapolation in Long Code via Positional Embeddings and Efficient Attention,2026,arXiv preprint,preprint,database,RQ4,4b-EmpiricalStudy,,3
S124,2603_04646,HDLFORGE: A Two-Stage Multi-Agent Framework for Efficient Verilog Code Generation with Adaptive Model Escalation,2026,arXiv preprint,preprint,database,RQ3,3i-Routing,,2.5
